Start,End,Regularity,Steps,Movements per hour,Time in bed (seconds),Time asleep (seconds),Time before sleep (seconds),Window start,Window stop,Snore time,Sleep Quality
22.26.00,06.11.00,85,192,55.8,27870.1,26476.6,185.8,06.10.00,06.10.00,0.0,82
22.39.00,07.16.00,91,4439,55.7,30984.1,27989.0,206.6,06.45.00,06.45.00,0.0,90
23.07.00,06.20.00,88,3272,46.6,25990.2,22784.8,173.3,06.00.00,06.00.00,0.0,80
23.05.00,06.33.00,98,949,53.7,26835.6,23168.0,178.9,06.30.00,06.30.00,0.0,76
22.26.00,06.22.00,93,8733,36.2,28578.9,26578.4,190.5,05.50.00,05.50.00,0.0,90
23.39.00,06.20.00,91,1184,35.9,24041.5,22278.5,160.3,05.50.00,05.50.00,72.0,77
22.46.00,06.19.00,92,2559,33.4,27184.4,23378.6,181.2,05.50.00,05.50.00,0.0,87
23.05.00,06.23.00,93,1710,38.2,26259.8,23546.3,175.1,05.50.00,05.50.00,381.0,80
00.57.00,08.33.00,85,5126,45.7,27377.2,25187.0,182.5,05.50.00,05.50.00,76.0,77
22.21.00,06.22.00,63,2746,51.8,28827.4,22965.8,192.2,05.50.00,05.50.00,965.0,75
22.36.00,06.21.00,79,2124,38.1,27851.0,25622.9,185.7,05.50.00,05.50.00,0.0,87
22.25.00,06.20.00,98,1626,40.4,28493.1,27068.4,190.0,05.50.00,05.50.00,0.0,86
23.13.00,06.10.00,96,2765,45.6,25074.0,22483.0,167.2,05.50.00,05.50.00,65.0,70
01.23.00,07.14.00,88,2435,23.0,21074.6,19880.3,1194.2,07.15.00,07.15.00,0.0,75
00.42.00,07.52.00,85,3057,41.1,25815.2,24696.6,172.1,07.30.00,07.30.00,64.0,75
23.28.00,06.20.00,83,8483,56.5,24721.1,21754.6,164.8,05.50.00,05.50.00,164.0,59
22.24.00,05.32.00,81,2745,50.4,25671.1,21906.0,941.3,05.30.00,05.30.00,765.0,67
23.20.00,06.03.00,86,4497,52.8,24220.1,21959.6,161.5,06.00.00,06.00.00,0.0,62
22.46.00,06.06.00,89,4745,48.3,26408.2,23679.3,176.1,06.00.00,06.00.00,0.0,72
22.41.00,06.10.00,94,3973,39.3,26934.7,24510.6,179.6,06.00.00,06.00.00,0.0,82
23.36.00,08.11.00,90,2370,40.8,30859.9,30037.0,205.7,07.30.00,07.30.00,451.0,92
22.54.00,07.55.00,89,4003,50.3,32477.8,28905.2,216.5,07.30.00,07.30.00,199.0,85
22.56.00,05.56.00,84,6853,37.9,25201.0,23353.0,168.0,05.50.00,05.50.00,0.0,78
22.18.00,06.00.00,90,2263,81.6,27716.2,25960.8,184.8,05.50.00,05.50.00,687.0,49
22.55.00,06.04.00,91,2394,47.6,25767.1,24135.2,171.8,05.50.00,05.50.00,0.0,72
22.02.00,06.08.00,94,2404,40.0,29120.9,23782.1,194.1,05.50.00,05.50.00,143.0,88
22.46.00,06.55.00,91,3922,40.8,29341.1,26700.4,195.6,06.45.00,06.45.00,62.0,88
21.53.00,08.37.00,83,5140,69.2,38656.7,31311.9,257.7,06.45.00,06.45.00,75.0,70
00.02.00,06.47.00,73,7430,53.8,24303.4,23493.3,162.0,06.45.00,06.45.00,0.0,64
